2026-05-15 17:49:36,885 | INFO | main | Application starting
2026-05-15 17:49:36,942 | INFO | main | Console app built successfully
2026-05-15 17:49:36,942 | INFO | ui.console | Console UI started
2026-05-15 17:49:41,768 | INFO | ui.console | Raw instruction received: ext
2026-05-15 17:49:41,768 | INFO | ui.console | Parsed instruction task: ext
2026-05-15 17:49:41,768 | INFO | ui.console | Console UI exit requested
2026-05-15 17:49:41,768 | INFO | main | Application stopped
2026-05-22 09:43:41,435 | INFO | main | Application starting
2026-05-22 09:43:41,541 | INFO | main | Console app built successfully
2026-05-22 09:43:41,541 | INFO | ui.console | Console UI started
