2026-04-23 21:21:34,924 | INFO | ui.console.handler | User winch registered and logged in, id=[469ddf88-a77d-4df7-b9cc-81ed79f9f33a]
2026-04-23 21:21:34,925 | INFO | ui.console | Instruction processed
2026-04-23 21:21:38,033 | INFO | ui.console | Raw instruction received: reg
2026-04-23 21:21:38,033 | INFO | ui.console | Parsed instruction task: reg
2026-04-23 21:21:38,033 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-23 21:21:38,033 | INFO | ui.console.handler | Handling reg command
2026-04-23 21:21:42,277 | INFO | ui.console.handler | User impala67 registered and logged in, id=[3e98d189-ed96-4cc3-a3cd-2bd70a60c409]
2026-04-23 21:21:42,277 | INFO | ui.console | Instruction processed
2026-04-23 21:21:44,771 | INFO | ui.console | Raw instruction received: reg
2026-04-23 21:21:44,771 | INFO | ui.console | Parsed instruction task: reg
2026-04-23 21:21:44,771 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-23 21:21:44,771 | INFO | ui.console.handler | Handling reg command
2026-04-23 21:21:47,865 | INFO | ui.console.handler | User dean registered and logged in, id=[084c68b0-792f-4449-9679-cf8e512a3f2d]
2026-04-23 21:21:47,866 | INFO | ui.console | Instruction processed
2026-04-23 21:21:51,256 | INFO | ui.console | Raw instruction received: new
2026-04-23 21:21:51,256 | INFO | ui.console | Parsed instruction task: new
2026-04-23 21:21:51,256 | INFO | ui.console.handler | Dispatch command: task=new
2026-04-23 21:21:51,256 | INFO | ui.console.handler | Handling new command
2026-04-23 21:21:51,256 | INFO | ui.console.handler | Registering new game, host_user_id=[084c68b0-792f-4449-9679-cf8e512a3f2d]
2026-04-23 21:21:51,278 | INFO | ui.console.handler | Created new game id=[f06f0594-5008-41ef-9f5f-af8d5982492a] and joined player id=[374ea048-2d51-4055-9048-c9a55aae8f1f] from user id=[084c68b0-792f-4449-9679-cf8e512a3f2d]
2026-04-23 21:21:51,279 | INFO | ui.console | Instruction processed
2026-04-23 21:21:57,257 | INFO | ui.console | Raw instruction received: players
2026-04-23 21:21:57,257 | INFO | ui.console | Parsed instruction task: players
2026-04-23 21:21:57,257 | INFO | ui.console.handler | Dispatch command: task=players
2026-04-23 21:21:57,257 | INFO | ui.console.handler | Handling players command
2026-04-23 21:21:57,257 | INFO | ui.console.handler | Showing players, game id=[f06f0594-5008-41ef-9f5f-af8d5982492a]
2026-04-23 21:21:57,260 | INFO | ui.console | Instruction processed
2026-04-23 21:22:06,756 | INFO | ui.console | Raw instruction received: join 5e952237-062c-4df9-bac9-ed3bd523e6a6
2026-04-23 21:22:06,756 | INFO | ui.console | Parsed instruction task: join
2026-04-23 21:22:06,756 | INFO | ui.console.handler | Dispatch command: task=join
2026-04-23 21:22:06,756 | INFO | ui.console.handler | Handling join command
2026-04-23 21:22:06,757 | ERROR | ui.console | Unexp err: Game 5e952237-062c-4df9-bac9-ed3bd523e6a6 not found
2026-04-23 21:22:12,105 | INFO | ui.console | Raw instruction received: join
2026-04-23 21:22:12,106 | INFO | ui.console | Parsed instruction task: join
2026-04-23 21:22:12,106 | INFO | ui.console.handler | Dispatch command: task=join
2026-04-23 21:22:12,106 | INFO | ui.console.handler | Handling join command
2026-04-23 21:22:12,107 | ERROR | ui.console | Value error instr:'join': User is already in the game
2026-04-23 21:22:34,626 | INFO | ui.console | Raw instruction received: cur_g
2026-04-23 21:22:34,627 | INFO | ui.console | Parsed instruction task: cur_g
2026-04-23 21:22:34,627 | INFO | ui.console.handler | Dispatch command: task=cur_g
2026-04-23 21:22:34,627 | INFO | ui.console.handler | Handling cur_g command
2026-04-23 21:22:34,633 | INFO | ui.console | Instruction processed
2026-04-23 21:23:03,723 | INFO | ui.console | Raw instruction received: join f06f0594-5008-41ef-9f5f-af8d5982492a 469ddf88-a77d-4df7-b9cc-81ed79f9f33a
2026-04-23 21:23:03,723 | INFO | ui.console | Parsed instruction task: join
